Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Dec. 25, 2024","Dec. 25, 2024",Hike,872,7.98929860608,5849,12.20174182772608,6.041716376362046,4.917334498559999,9.93095604864,,9880,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8331902194
"Dec. 22, 2024","Dec. 22, 2024",Hike,2377,20.2024171008,15946,13.155235922214267,4.65880507834248,4.560929176319999,12.87883973376,,23366,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8328664357
"Dec. 21, 2024","Dec. 21, 2024",Hike,745,6.8043708057600005,4995,12.234798775153106,7.22033325379782,4.904041317119999,8.30983165056,,7929,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8327571076
"Dec. 21, 2024","Dec. 21, 2024",Hike,731,6.8777407987200005,4906,11.888570746838463,8.171217589278612,5.04685450368,7.34282512128,,8191,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8327301583
"Dec. 20, 2024","Dec. 19, 2024",Hike,1677,15.360271153920001,11245,12.201369005010736,8.106284299689811,4.91747933952,7.401694924799999,,17713,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8325838618
"Dec. 18, 2024","Dec. 18, 2024",Hike,1540,13.29968318976,10328,12.942664837349877,8.489981010896365,4.635828046079999,7.0671766809599985,,15255,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8323962364
"Dec. 15, 2024","Dec. 15, 2024",Hike,1227,7.507283984640001,8232,18.275583094726795,7.705127057981389,3.28307785344,7.78702015872,,9716,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8319944689
"Dec. 8, 2024","Dec. 8, 2024",Hike,1266,10.15127524224,8488,13.935864551022032,3.3043152986558497,4.30544581632,18.158067417599998,,12089,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8311057744
"Dec. 7, 2024","Dec. 7, 2024",Hike,1353,10.090297198080002,9074,14.987970253718284,4.940429143800206,4.00321101312,12.14468918784,,12658,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8310212734
"Dec. 1, 2024","Dec. 1, 2024",Hike,1718,10.330990686720002,11521,18.586455102203132,9.481937982184045,3.2281509427199997,6.327827953919999,,13261,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8302150810
"Dec. 1, 2024","Dec. 1, 2024",Hike,1166,10.04739208704,7820,12.97186928338503,7.848663803388212,4.625399496959999,7.64460930816,,12139,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8301853495
"Nov. 16, 2024","Nov. 16, 2024",Hike,3229,23.776448256000002,21660,15.183080808080806,7.22431002942814,3.9517763788799996,8.305293300479999,,28958,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8280751027
"Nov. 10, 2024","Nov. 10, 2024",Hike,1904,17.3875135104,12772,12.242503777936848,8.124676886980037,4.90095137664,7.38490946688,,20006,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8271116908
